Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
01-Home,54,1195,141,3406,926.30,22.222%,.08422,9.15,0.08,111239.8
home/favicon.ico-2,5,21058,21018,21129,38.94,100.000%,.00784,0.02,0.00,2721.0
home/canonical.html-3,5,107,97,118,7.52,0.000%,.00811,0.00,0.00,298.0
home/success.txt-4,5,50,48,54,2.06,0.000%,.00811,0.00,0.00,216.0
home/success.txt-5,5,49,47,50,1.10,0.000%,.00811,0.00,0.00,216.0
home/home-6,5,19646,16549,21052,1828.74,100.000%,.00784,0.02,0.00,2611.0
home/favicon.ico-7,3,14152,325,21079,9777.64,100.000%,.00470,0.01,0.00,2629.3
home/home-8,2,21081,21058,21104,23.00,100.000%,.00314,0.01,0.00,2720.0
home/favicon.ico-9,2,21038,21035,21041,3.00,100.000%,.00314,0.01,0.00,2721.0
Manual/usermanual-10,2,21051,21045,21057,6.00,100.000%,.00314,0.01,0.00,2721.0
Manual/canonical.html-12,2,103,102,105,1.50,0.000%,.00324,0.00,0.00,298.0
Manual/success.txt-14,4,50,49,51,0.71,0.000%,.00648,0.00,0.00,216.0
Manual/success.txt-13,2,50,50,50,0.00,0.000%,.00324,0.00,0.00,216.0
Manual/canonical.html-1,2,51,50,52,1.00,0.000%,.00324,0.00,0.00,298.0
Manual/success.txt-2,2,50,50,50,0.00,0.000%,.00324,0.00,0.00,216.0
Manual/success.txt-3,2,49,49,49,0.00,0.000%,.00324,0.00,0.00,216.0
Manual/canonical.html-4,2,50,50,50,0.00,0.000%,.00324,0.00,0.00,298.0
Manual/success.txt-5,2,50,49,52,1.50,0.000%,.00324,0.00,0.00,216.0
Manual/success.txt-6,2,51,51,51,0.00,0.000%,.00324,0.00,0.00,216.0
Manual/canonical.html-7,2,50,50,50,0.00,0.000%,.00324,0.00,0.00,298.0
Manual/success.txt-8,2,50,50,50,0.00,0.000%,.00324,0.00,0.00,216.0
Manual/success.txt-9,2,50,50,51,0.50,0.000%,.00324,0.00,0.00,216.0
Manual/canonical.html-10,2,50,50,50,0.00,0.000%,.00324,0.00,0.00,298.0
Manual/success.txt-12,2,50,49,51,1.00,0.000%,.00324,0.00,0.00,216.0
Manual/success.txt-11,2,50,50,51,0.50,0.000%,.00324,0.00,0.00,216.0
Manual/canonical.html-13,2,52,51,53,1.00,0.000%,.00324,0.00,0.00,298.0
Manual/success.txt-15,2,50,50,51,0.50,0.000%,.00324,0.00,0.00,216.0
Manual/canonical.html-17,2,50,50,50,0.00,0.000%,.00324,0.00,0.00,298.0
Manual/success.txt-19,2,52,50,54,2.00,0.000%,.00324,0.00,0.00,216.0
Manual/success.txt-18,2,51,51,52,0.50,0.000%,.00324,0.00,0.00,216.0
Manual/canonical.html-20,2,50,49,51,1.00,0.000%,.00324,0.00,0.00,298.0
Manual/success.txt-21,2,51,49,53,2.00,0.000%,.00324,0.00,0.00,216.0
Manual/success.txt-22,2,50,49,52,1.50,0.000%,.00324,0.00,0.00,216.0
Manual/-16,2,21048,21039,21057,9.00,100.000%,.00314,0.01,0.00,2721.0
Manual/canonical.html-24,2,63,62,64,1.00,0.000%,.00324,0.00,0.00,298.0
Manual/success.txt-25,2,51,50,53,1.50,0.000%,.00324,0.00,0.00,216.0
Manual/success.txt-26,2,50,50,51,0.50,0.000%,.00324,0.00,0.00,216.0
02- User Manual,42,128,42,642,114.26,28.571%,.36969,12.22,0.05,33836.7
TOTAL,186,2625,42,21129,6325.11,24.194%,.24283,9.56,0.10,40329.0
